match_id,actual_home_goals,actual_away_goals,status,notes
1,,,pendente,
2,,,pendente,
3,,,pendente,
4,,,pendente,
5,,,pendente,
6,,,pendente,
7,,,pendente,
8,,,pendente,
9,,,pendente,
10,,,pendente,
11,,,pendente,
12,,,pendente,
13,,,pendente,
14,,,pendente,
15,,,pendente,
16,,,pendente,
17,,,pendente,
18,,,pendente,
19,,,pendente,
20,,,pendente,
21,,,pendente,
22,,,pendente,
23,,,pendente,
24,,,pendente,
25,,,pendente,
26,,,pendente,
27,,,pendente,
28,,,pendente,
29,,,pendente,
30,,,pendente,
31,,,pendente,
32,,,pendente,
33,,,pendente,
34,,,pendente,
35,,,pendente,
36,,,pendente,
37,,,pendente,
38,,,pendente,
39,,,pendente,
40,,,pendente,
41,,,pendente,
42,,,pendente,
43,,,pendente,
44,,,pendente,
45,,,pendente,
46,,,pendente,
47,,,pendente,
48,,,pendente,
49,,,pendente,
50,,,pendente,
51,,,pendente,
52,,,pendente,
53,,,pendente,
54,,,pendente,
55,,,pendente,
56,,,pendente,
57,,,pendente,
58,,,pendente,
59,,,pendente,
60,,,pendente,
61,,,pendente,
62,,,pendente,
63,,,pendente,
64,,,pendente,
65,,,pendente,
66,,,pendente,
67,,,pendente,
68,,,pendente,
69,,,pendente,
70,,,pendente,
71,,,pendente,
72,,,pendente,
